id;day;start;end
TP_1;1;0830;0915
TP_2;1;0915;1000
TP_3;1;1030;1115
TP_4;1;1115;1200
TP_5;1;1300;1345
TP_6;1;1345;1430
TP_7;1;1445;1530
TP_8;1;1530;1615
TP_9;2;0830;0915
TP_10;2;0915;1000
TP_11;2;1030;1115
TP_12;2;1115;1200
TP_13;2;1300;1345
TP_14;2;1345;1430
TP_15;2;1445;1530
TP_16;2;1530;1615
TP_17;3;0830;0915
TP_18;3;0915;1000
TP_19;3;1030;1115
TP_20;3;1115;1200
TP_21;3;1300;1345
TP_22;3;1345;1430
TP_23;3;1445;1530
TP_24;3;1530;1615
TP_25;4;0830;0915
TP_26;4;0915;1000
TP_27;4;1030;1115
TP_28;4;1115;1200
TP_29;4;1300;1345
TP_30;4;1345;1430
TP_31;4;1445;1530
TP_32;4;1530;1615
TP_33;5;0830;0915
TP_34;5;0915;1000
TP_35;5;1030;1115
TP_36;5;1115;1200
TP_37;5;1300;1345
TP_38;5;1345;1430
TP_39;5;1445;1530
TP_40;5;1530;1615
