day,endtime,id,period,starttime
1,0915,TP_1,1,0830
1,1000,TP_2,2,0915
1,1115,TP_3,3,1030
1,1200,TP_4,4,1115
1,1345,TP_5,5,1300
1,1430,TP_6,6,1345
1,1530,TP_7,7,1445
1,1615,TP_8,8,1530
2,0915,TP_9,1,0830
2,1000,TP_10,2,0915
2,1115,TP_11,3,1030
2,1200,TP_12,4,1115
2,1345,TP_13,5,1300
2,1430,TP_14,6,1345
2,1530,TP_15,7,1445
2,1615,TP_16,8,1530
3,0915,TP_17,1,0830
3,1000,TP_18,2,0915
3,1115,TP_19,3,1030
3,1200,TP_20,4,1115
3,1345,TP_21,5,1300
3,1430,TP_22,6,1345
3,1530,TP_23,7,1445
3,1615,TP_24,8,1530
4,0915,TP_25,1,0830
4,1000,TP_26,2,0915
4,1115,TP_27,3,1030
4,1200,TP_28,4,1115
4,1345,TP_29,5,1300
4,1430,TP_30,6,1345
4,1530,TP_31,7,1445
4,1615,TP_32,8,1530
5,0915,TP_33,1,0830
5,1000,TP_34,2,0915
5,1115,TP_35,3,1030
5,1200,TP_36,4,1115
5,1345,TP_37,5,1300
5,1430,TP_38,6,1345
5,1530,TP_39,7,1445
5,1615,TP_40,8,1530
